Movie title,Release year,Ratings,User count,Director,Language,IMDB link
The Shawshank Redemption,(1994),9.2,"2,242,273",Frank Darabont,English ,https://www.imdb.com/title/tt0111161/
The Godfather,(1972),9.1,"1,546,624",Francis Ford Coppola,English Italian Latin ,https://www.imdb.com/title/tt0068646/
The Godfather: Part II,(1974),9.0,"1,081,373",Francis Ford Coppola,English Italian Spanish Latin Sicilian ,https://www.imdb.com/title/tt0071562/
The Dark Knight,(2008),9.0,"2,211,472",Christopher Nolan,English Mandarin ,https://www.imdb.com/title/tt0468569/
12 Angry Men,(1957),8.9,"656,021",Sidney Lumet,English ,https://www.imdb.com/title/tt0050083/
Schindler's List,(1993),8.9,"1,165,687",Steven Spielberg,Latin English Hebrew German Polish ,https://www.imdb.com/title/tt0108052/
The Lord of the Rings: The Return of the King,(2003),8.9,"1,585,015",Peter Jackson,English Quenya Old English Sindarin ,https://www.imdb.com/title/tt0167260/
Pulp Fiction,(1994),8.8,"1,756,497",Quentin Tarantino,English Spanish French ,https://www.imdb.com/title/tt0110912/
"Il buono, il brutto, il cattivo",(1966),8.8,"662,381",Sergio Leone,See more ,https://www.imdb.com/title/tt0060196/
The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,"1,598,442",Peter Jackson,English Sindarin ,https://www.imdb.com/title/tt0120737/
Fight Club,(1999),8.8,"1,784,013",David Fincher,English ,https://www.imdb.com/title/tt0137523/
Forrest Gump,(1994),8.8,"1,729,093",Robert Zemeckis,English ,https://www.imdb.com/title/tt0109830/
Inception,(2010),8.7,"1,965,422",Christopher Nolan,English Japanese French ,https://www.imdb.com/title/tt1375666/
Star Wars: Episode V - The Empire Strikes Back,(1980),8.7,"1,118,725",Irvin Kershner,English ,https://www.imdb.com/title/tt0080684/
The Lord of the Rings: The Two Towers,(2002),8.7,"1,431,956",Peter Jackson,English Sindarin Old English ,https://www.imdb.com/title/tt0167261/
The Matrix,(1999),8.6,"1,609,036",Lana Wachowski,English ,https://www.imdb.com/title/tt0133093/
